STNAME,CTYNAME,POPESTIMATE2020,GEOID,MEDIAN_HOUSEHOLD_INCOME,CENTROID
Wisconsin,Dunn County,45453,55033,71434,POINT (323305.2962502376 2446629.30739337)
Wisconsin,Eau Claire County,105877,55035,70564,POINT (372543.9341227097 2424558.589720889)
Wisconsin,Florence County,4563,55037,64512,POINT (590422.7685093327 2563797.789604664)
Wisconsin,Fond du Lac County,104156,55039,71206,POINT (601806.3540503364 2330637.8283675206)
Wisconsin,Forest County,9168,55041,56118,POINT (563094.2335315015 2541235.277752503)
Wisconsin,Grant County,51979,55043,63247,POINT (429875.0255896816 2219804.8288084036)
Wisconsin,Green County,37033,55045,79337,POINT (520796.7483175676 2204425.5678737164)
Wisconsin,Green Lake County,19027,55047,66070,POINT (556798.8942911717 2332406.660384687)
Wisconsin,Iowa County,23718,55049,76404,POINT (475312.8830972968 2237434.536157368)
Wisconsin,Iron County,6140,55051,60694,POINT (444598.0245953651 2599478.2790012006)
Wisconsin,Jackson County,21095,55053,64344,POINT (412931.8291802698 2381156.697804632)
Wisconsin,Jefferson County,86208,55055,78728,POINT (585112.6225244481 2247245.572728277)
Wisconsin,Juneau County,26780,55057,61904,POINT (470838.30802541645 2340454.138910905)
Wisconsin,Kenosha County,169202,55059,75067,POINT (648638.261904738 2202555.7572734267)
Wisconsin,Kewaunee County,20563,55061,73717,POINT (664161.7392548836 2421284.4373111385)
Wisconsin,La Crosse County,120943,55063,70075,POINT (390794.6441890674 2333912.323375464)
Wisconsin,Lafayette County,16604,55065,67311,POINT (477895.1555542094 2199488.8032388003)
Wisconsin,Langlade County,19466,55067,57745,POINT (542701.8797561787 2494729.2703191265)
Wisconsin,Lincoln County,28429,55069,59637,POINT (490565.51578629087 2499432.591990461)
Wisconsin,Manitowoc County,81412,55071,62910,POINT (652593.1753746105 2375763.9275039895)
Wisconsin,Marathon County,138114,55073,70955,POINT (491848.2730670152 2450543.152446344)
Wisconsin,Marinette County,41900,55075,58554,POINT (623294.258369465 2513927.5862633116)
Wisconsin,Marquette County,15580,55077,58197,POINT (528356.3577757609 2332495.217404064)
Wisconsin,Menominee County,4258,55078,51623,POINT (573476.1439336786 2468208.082158145)
Wisconsin,Milwaukee County,938609,55079,58375,POINT (650551.0031704971 2250740.9344688854)
Wisconsin,Monroe County,46299,55081,65232,POINT (430169.53159852047 2340560.569584209)
Wisconsin,Oconto County,39077,55083,68127,POINT (607256.8800719193 2473462.2969478774)
Wisconsin,Oneida County,37877,55085,62242,POINT (504560.08050779416 2541542.4766283403)
Wisconsin,Outagamie County,190973,55087,78808,POINT (597810.302859125 2404372.8981196783)
